architecture,mode,population,n_iterations,crossover,mutation,4_mean_n_cnots,4_median_n_cnots,4_mean_time,4_median_time,8_mean_n_cnots,8_median_n_cnots,8_mean_time,8_median_time,16_mean_n_cnots,16_median_n_cnots,16_mean_time,16_median_time,32_mean_n_cnots,32_median_n_cnots,32_mean_time,32_median_time,64_mean_n_cnots,64_median_n_cnots,64_mean_time,64_median_time,128_mean_n_cnots,128_median_n_cnots,128_mean_time,128_median_time,256_mean_n_cnots,256_median_n_cnots,256_mean_time,256_median_time
16q-square,genetic_steiner,10,50,0.8,0.2,4.5,4.0,0.7365768909454345,0.7381665706634521,13.4,13.0,1.236824142932892,1.201021432876587,35.0,35.5,1.823523712158203,1.866134762763977,91.0,89.0,3.1935893177986143,3.1943840980529785,153.55,151.5,4.980070865154266,5.013729572296143,173.1,173.0,5.215568745136261,5.216285705566406,172.35,173.5,4.954872345924377,4.926968932151794
16q-square,genetic_steiner,10,100,0.8,0.2,4.2,4.0,2.418702244758606,1.4026471376419067,11.15,11.0,2.005111575126648,1.9705954790115352,33.6,31.0,3.1767186403274534,3.051918148994446,81.9,87.5,5.482109010219574,5.513525485992432,149.0,150.5,9.007359111309052,9.148968577384949,169.7,170.0,9.746867465972901,9.75929582118988,172.75,173.0,10.285298824310303,9.848142743110659
16q-square,genetic_steiner,20,50,0.8,0.2,4.1,4.0,1.4181835174560546,1.4019593000411987,9.85,9.0,2.007917308807373,1.9502559900283813,30.9,28.5,3.187172222137451,3.165483593940735,81.05,83.5,5.671605038642883,5.76142942905426,145.85,148.5,8.77243731021881,8.772506952285767,170.0,172.0,10.184625935554504,10.011187314987183,171.15,172.0,9.300557327270507,9.2818284034729
16q-square,genetic_steiner,20,100,0.8,0.2,4.0,4.0,2.5612597465515137,2.5581281185150146,9.55,9.0,3.5121745586395265,3.5074442625045776,26.75,26.0,5.300689387321472,5.180583596229553,76.4,76.0,9.839827036857605,9.596848726272583,144.3,145.0,15.753482377529144,15.775867462158203,166.6,167.0,60.00371148586273,17.85538339614868,167.95,170.0,18.063925099372863,18.007957220077515
16q-square,genetic_steiner,50,50,0.8,0.2,4.0,4.0,3.6510846614837646,3.592949390411377,9.2,9.0,4.725950968265534,4.686781883239746,25.6,25.5,7.4744673371315,7.448938250541687,72.6,69.0,13.731009197235107,13.044868469238281,139.5,141.5,21.10197741985321,21.067279815673828,166.3,166.5,24.22927862405777,24.098010301589966,168.25,169.5,22.32310562133789,22.28592312335968
16q-square,genetic_steiner,50,100,0.8,0.2,4.0,4.0,6.71464194059372,6.599640369415283,8.9,8.0,8.141927790641784,8.136322379112244,24.45,24.5,12.240968668460846,12.53418505191803,67.65,66.5,60.11629141569138,22.774778008461,141.4,140.5,37.955260610580446,37.94787549972534,164.8,165.0,43.87420960664749,43.84216380119324,165.3,166.0,1823.8377364873886,43.91635179519653
16q-square,genetic_steiner,75,50,0.8,0.2,4.0,4.0,492.869056391716,6.702378034591675,9.25,9.0,9.919719564914704,10.01384425163269,23.9,24.0,13.070620775222778,12.479605793952942,69.45,69.0,23.190753877162933,22.603495717048645,139.95,140.5,36.2283392071724,36.105555295944214,162.9,165.0,55.00387789011002,53.22054314613342,164.85,165.5,57.85246692895889,55.72029459476471
16q-square,genetic_steiner,75,100,0.8,0.2,4.0,4.0,15.188176262378693,14.253103733062744,8.95,8.0,16.15212639570236,15.952167987823486,24.5,24.5,24.015291345119476,23.419586896896362,70.5,66.5,131.93428370952606,41.48182213306427,138.0,137.5,93.57369525432587,90.87207770347595,160.0,161.5,98.80060037374497,95.26432454586029,164.7,165.0,96.6447856426239,100.42956292629242
16q-square,genetic_steiner,75,150,0.8,0.2,4.0,4.0,21.042855489254,21.115851759910583,8.7,8.0,27.605174458026887,25.930002450942993,,,,,,,,,,,,,,,,,165.4,166.0,138.413378405571,133.0495103597641
16q-square,genetic_steiner,100,50,0.8,0.2,4.0,4.0,7.242103314399719,7.1944836378097525,8.5,8.0,9.65185613632202,9.651154041290285,22.7,22.0,14.469984424114227,14.165393471717834,67.4,65.5,26.09025322198868,25.65109157562256,135.9,139.5,41.30417742729187,41.520474672317505,162.95,163.5,45.56652266979218,45.68804633617401,163.85,163.5,67.0997080206871,66.9076066017151
16q-square,genetic_steiner,100,100,0.8,0.2,4.0,4.0,13.212176311016083,13.166597366333008,8.35,8.0,16.36114091873169,16.311291933059692,24.3,24.0,24.513252401351927,24.080124378204346,64.75,61.5,43.58812997341156,43.195199608802795,138.65,139.0,74.7746387720108,74.25748491287231,159.5,161.0,84.93677382469177,84.404571890831,163.8,164.0,128.66718015670776,129.3868339061737
